OBJECTID,NETWORK_AREA,CORRIDOR_ID,CORRIDOR_DESCR,LINK_ID,LINK_DESCR,LINK_FROM,LINK_TO,LINK_FLOW,LINK_DIRN,LINK_SEQ,GEOLOCSTLength
6182831,North East,1120001,Garratt Rd,52969,Garratt Rd,Guildford Rd,Garratt Rd Bridge,O,,2,0.00813110903593739
6182832,North East,1120002,Beaufort St,52979,Beaufort St,Nelson St & Beaufort St,Grand Prom,O,,1,0.00309596392408434
6182833,North East,1120002,Beaufort St,52980,Beaufort St,Grand Prom,Broun Av,O,,2,0.0071365030325027
6182834,North East,1120003,Walter Rd West,52991,Walter Rd West,Shaftesbury Av & Walter Rd West,Coode St,O,,1,0.00569516892544908
6182835,North East,1120003,Walter Rd West,52992,Walter Rd West,Coode St,Russell St,O,,2,0.00607940549329268
6182836,North East,1120003,Walter Rd West,52993,Walter Rd West,Russell St,Progress St,O,,3,0.00206434940938348
6182837,North East,1120003,Walter Rd West,52994,Walter Rd West,Progress St,Wellington Rd & Old Collier Rd,O,,4,0.00137670234599333
6182838,North East,1120003,Walter Rd West,52995,Walter Rd West,Wellington Rd & Old Collier Rd,Collier Rd,O,,5,0.00516592066797006
6182839,North East,1120003,Walter Rd West,52996,Walter Rd West,Collier Rd,Crimea St,O,,6,0.00227516045694545
6182840,North East,1120003,Walter Rd West,52997,Walter Rd West,Crimea St,Embleton Av,O,,7,0.0122206665972898
6182841,North East,1120004,Grand Prom,53007,Grand Prom,Railway Pde,Beaufort St,O,,1,0.00957864354035607
6182842,North East,1120004,Grand Prom,53008,Grand Prom,Beaufort St,Grand Prom & Walter Rd West,O,,2,0.0143138697897919
6182843,North East,1120005,Beechboro Rd North,53019,Beechboro Rd North,Beechboro Rd North - Start Road,Broun Av & Walter Rd East,O,,1,0.00362905899882648
6182844,North East,1120005,Beechboro Rd North,53020,Beechboro Rd North,Broun Av & Walter Rd East,Morley Dr,O,,2,0.00580147554355982
6182845,North East,1120005,Beechboro Rd North,53021,Beechboro Rd North,Morley Dr,Benara Rd,O,,3,0.0136647775255868
6182846,North East,1120005,Beechboro Rd North,53022,Beechboro Rd North,Benara Rd,Wandoo Rd & Beechboro Rd North,O,,4,0.00376054198951872
6182847,North East,1120006,Broun Av,53032,Broun Av,Beaufort St,Coode St,O,,1,0.0026745937769171
6182848,North East,1120006,Broun Av,53033,Broun Av,Coode St,Russell St,O,,2,0.00610316458311417
6182849,North East,1120006,Broun Av,53034,Broun Av,Russell St,Collier Rd,O,,3,0.00308077782953461
6182850,North East,1120006,Broun Av,53035,Broun Av,Collier Rd,Embleton Av,O,,4,0.0139565386999705
6182851,North East,1120006,Broun Av,53036,Broun Av,Embleton Av,Walter Rd East & Beechboro Rd North,O,,5,0.00758786840667472
6182852,North East,1120007,Collier Rd,53046,Collier Rd,Collier Rd & Grey St & Jackson St,Tonkin Hwy,O,,1,0.00375491924527983
6182853,North East,1120007,Collier Rd,53047,Collier Rd,Tonkin Hwy,Beechboro Rd South,O,,2,0.00753058134501947
6182854,North East,1120007,Collier Rd,53048,Collier Rd,Beechboro Rd South,Broun Av,O,,3,0.0121281748521238
6182855,North East,1120007,Collier Rd,53049,Collier Rd,Broun Av,Walter Rd West,O,,4,0.00774364670779096
6182856,North East,1120008,King William St,53060,King William St,King William St - End Road,Guildford Rd,O,,1,0.00567886209677638
6182857,North East,1120008,King William St,53061,King William St,Guildford Rd,Coode St & Whatley Cr,O,,2,0.00847461194914999
