osmid,risk_lvl
25592064,1
25592065,1
5836673533,1
25592159,2
5985927351,1
5836673558,1
25592163,1
5836673491,0
566451053,1
25592199,1
1875103331,1
5836673536,0
25592188,1
1875103165,1
3443990436,1
25592217,1
25592253,1
3443990430,1
1554273087,1
6207603161,1
4904219144,0
25592425,1
6030531593,2
278480946,0
"[1868951798, 1868951787]",2
"[4904219159, 4904219161, 6030531598, 6030505969, 6030505973, 6030531594, 6030531596, 6030531606, 6030531602]",2
277961117,1
6230142361,2
"[1868951777, 1868951774]",1
4907297851,0
"[25592438, 6230203153]",0
6029932721,0
6572439732,1
6230203155,0
"[6230203160, 1868951948, 6230203157, 6029932703, 6230203156]",2
25592462,0
10660782639,1
"[1868952718, 6029932711, 6029932732, 6029932698]",1
6029932749,1
10660782635,1
7410638100,1
"[4828062719, 7039925293]",1
"[4907297873, 6029932697, 7040446611]",1
"[25592471, 6029932695, 6029932384, 6029932381, 6029932382, 6029932685]",1
"[4828062701, 6029932706, 4828062702, 6029932707]",1
"[4907297864, 6029932694]",2
6029932693,1
31783800,0
214904981,2
3296307099,0
31788002,0
"[8386016063, 8386016059]",1
31785464,1
31785810,1
31785465,1
31785936,2
31785750,1
31785809,2
31785812,2
31785467,1
31785972,1
271845114,1
31785807,1
271845043,1
271845104,1
271845093,1
271845063,2
271844941,1
31785479,1
271844970,1
271844980,1
271844967,1
271844946,1
271845008,0
271844938,1
31785484,2
271845006,1
214909492,1
271845005,1
271845020,1
1960706312,1
"[31785606, 6241807070, 271844937, 6241807081, 6241807800, 6241807069, 6241807077, 6241807073, 6241807074]",1
9021758618,1
752191601,1
271845371,0
271325450,0
646216054,0
31785615,1
271845102,1
823948541,1
"[6241807802, 271844960, 271845512]",1
271845101,1
271845070,2
823948547,0
271845109,1
271844959,0
271845363,3
271845535,1
"[31785618, 6241807813, 6241807805, 6241807806]",0
6241807809,0
6241807816,2
"[31785620, 6241788091, 271845876]",2
31785723,1
271845974,1
271845845,1
31785720,1
271845112,2
271845113,2
31786042,0
271845115,2
271845107,2
31785871,2
31785752,1
31785971,0
271845116,0
31786045,2
31786046,0
"[31785930, 6200240517, 6200240511, 6200240498, 6200240510, 6200240506]",0
31785806,1
1867785292,1
271844954,1
271845051,1
271845002,2
271844948,1
"[1860896315, 6200240504, 1837247193, 845531802, 845531804, 845531809, 845531811, 845531813]",0
1887590640,0
271845978,1
207074120,1
271845117,1
10262111475,1
"[271324510, 6241343302, 6241343305, 6241343298, 271325488, 6241343301]",0
271325503,3
"[31788237, 31788238, 11365617468, 11365643972]",0
"[1837282821, 271324311, 6241266097, 6241343286]",0
11365617443,1
31788240,1
"[6241266100, 6241266099]",1
"[31788610, 271325638, 6241290415, 6241290414]",1
"[6241343285, 6241337384]",2
11365617448,1
"[846535723, 846535725]",1
271324654,0
31788241,1
"[6241337367, 1837282814, 271325672, 6241337363, 846533093, 846533094, 1860896145, 6241337366, 6241337360]",0
271324648,1
271325696,2
"[6241337383, 6241337382]",0
"[10255288098, 271325668, 10255330709, 10255330712, 10255330714, 10255288107, 10255288106, 10255330710, 11747626569]",0
"[1867784689, 1867784696, 1867784673, 1867784757]",0
6241290406,2
6241290423,1
"[1837282791, 6241290403]",1
"[1867784630, 11365617454]",0
